0   0   (0.24999999999999967,0)   (-1.5395670849294163e-17,0)   (7.0473141211557788e-19,0)   (2.0973891026732083e-16,0)   (-4.2218832596585543e-16,0)   (-1.8783802638311364e-16,0)   (6.8142106540713954e-17,0)   (1.5032463121511519e-16,0)   (1.772128450927557e-16,0)   (8.429671891074797e-17,0)   (1.9851741778209586e-16,0)   (-7.8062556418956319e-18,0)   (0.50000000000000222,0)   (8.2612605653369607e-17,0)   (2.4169714572987036e-16,0)   (1.2057386949222877e-16,0)   (-2.4458605747559956e-17,0)   (-6.4253695917224681e-17,0)   (-5.5016907506534943e-17,0)   (-6.4898499748322017e-17,0)   (-1.2339681854719054e-17,0)   (1.2914827813816565e-16,0)   (2.9698415086746102e-16,0)   (3.3448611109067154e-16,0)   
0.10000000000000001   0   (0.24999999999999942,0)   (0.012404673232676735,0)   (0.0066650313006788491,0)   (0.00065588646745638008,0)   (0.00020004207994588023,0)   (2.7155529864610274e-05,0)   (1.2477196842475495e-05,0)   (2.7155529864817543e-05,0)   (0.00020004207994605208,0)   (0.00065588646745634365,0)   (0.0066650313006788196,0)   (0.012404673232676779,0)   (0.50000000000000533,0)   (0.0248093464653543,0)   (0.01333006260135796,0)   (0.0013117729349134577,0)   (0.0004000841598926031,0)   (5.4311059730488454e-05,0)   (2.4954393685298742e-05,0)   (5.4311059730504433e-05,0)   (0.00040008415989259069,0)   (0.0013117729349134692,0)   (0.013330062601358316,0)   (0.024809346465354303,0)   
0.20000000000000001   0   (0.25000000000000272,0)   (0.024242020661191035,0)   (0.013910873546557061,0)   (0.0026754583777174692,0)   (0.00096156699137746077,0)   (0.00024167932992441866,0)   (0.00013657563919132332,0)   (0.00024167932992413897,0)   (0.00096156699137750761,0)   (0.0026754583777175264,0)   (0.013910873546556951,0)   (0.024242020661191119,0)   (0.500000000000006,0)   (0.04848404132238382,0)   (0.027821747093115357,0)   (0.0053509167554358916,0)   (0.001923133982756326,0)   (0.00048335865985016054,0)   (0.00027315127838354789,0)   (0.00048335865985018163,0)   (0.0019231339827563815,0)   (0.0053509167554358951,0)   (0.027821747093114624,0)   (0.048484041322381752,0)   
0.29999999999999999   0   (0.249999999999997,0)   (0.035013516736988264,0)   (0.021327486322203791,0)   (0.0059749274357429249,0)   (0.0024672755236376507,0)   (0.00087080659375597192,0)   (0.00056682935010129358,0)   (0.00087080659375591294,0)   (0.0024672755236375995,0)   (0.0059749274357427141,0)   (0.021327486322203881,0)   (0.035013516736988382,0)   (0.50000000000000011,0)   (0.070027033473978692,0)   (0.04265497264440872,0)   (0.011949854871488219,0)   (0.0049345510472775071,0)   (0.0017416131875139498,0)   (0.0011336587002058953,0)   (0.0017416131875140088,0)   (0.0049345510472774447,0)   (0.011949854871488199,0)   (0.042654972644409143,0)   (0.070027033473977887,0)   
0.40000000000000002   0   (0.25000000000000139,0)   (0.044386128739780942,0)   (0.028532598691045949,0)   (0.010296909636204219,0)   (0.0047897408888808715,0)   (0.0021196402196328309,0)   (0.0015241635724410783,0)   (0.0021196402196328513,0)   (0.0047897408888809417,0)   (0.010296909636204202,0)   (0.02853259869104581,0)   (0.044386128739780928,0)   (0.50000000000000377,0)   (0.08877225747956527,0)   (0.057065197382094236,0)   (0.02059381927241195,0)   (0.0095794817777655472,0)   (0.0042392804392693273,0)   (0.0030483271448852687,0)   (0.004239280439269447,0)   (0.0095794817777656339,0)   (0.020593819272412016,0)   (0.05706519738209475,0)   (0.088772257479564146,0)   
0.5   0   (0.25000000000000488,0)   (0.052232154176600917,0)   (0.035243848058509775,0)   (0.015300819193850634,0)   (0.0078872422331180778,0)   (0.0041073019642868368,0)   (0.003172534405475626,0)   (0.0041073019642870424,0)   (0.0078872422331188307,0)   (0.015300819193850726,0)   (0.035243848058509941,0)   (0.052232154176600654,0)   (0.50000000000000844,0)   (0.10446430835320474,0)   (0.070487696117023171,0)   (0.030601638387704761,0)   (0.015774484466241943,0)   (0.0082146039285792925,0)   (0.0063450688109564267,0)   (0.0082146039285793532,0)   (0.01577448446624205,0)   (0.030601638387705302,0)   (0.070487696117023546,0)   (0.10446430835320544,0)   
0.59999999999999998   0   (0.24999999999999836,0)   (0.05860208362730298,0)   (0.041303153996187031,0)   (0.020651554793970708,0)   (0.011631620868316796,0)   (0.0068408465859708407,0)   (0.0055678839732616605,0)   (0.0068408465859711512,0)   (0.011631620868316955,0)   (0.020651554793970843,0)   (0.041303153996187073,0)   (0.058602083627302945,0)   (0.50000000000000266,0)   (0.11720416725461232,0)   (0.082606307992378933,0)   (0.041303109587948236,0)   (0.02326324173664187,0)   (0.013681693171949904,0)   (0.011135767946532231,0)   (0.013681693171949843,0)   (0.023263241736641925,0)   (0.041303109587948243,0)   (0.082606307992379849,0)   (0.11720416725460893,0)   
0.69999999999999996   0   (0.25000000000000144,0)   (0.063660470396179739,0)   (0.046659192160805829,0)   (0.026072681022698267,0)   (0.01584847075117066,0)   (0.010230141420223125,0)   (0.0086570126854645831,0)   (0.010230141420223054,0)   (0.015848470751170386,0)   (0.026072681022698413,0)   (0.046659192160805801,0)   (0.063660470396179905,0)   (0.5000000000000081,0)   (0.12732094079236586,0)   (0.093318384321619818,0)   (0.05214536204540432,0)   (0.031696941502350535,0)   (0.020460282840456982,0)   (0.017314025370940775,0)   (0.020460282840456926,0)   (0.031696941502350633,0)   (0.052145362045404882,0)   (0.093318384321619832,0)   (0.12732094079236575,0)   
0.80000000000000004   0   (0.25000000000000094,0)   (0.067620488269798509,0)   (0.051331729102618483,0)   (0.031362566170007905,0)   (0.020353325775276904,0)   (0.014125000270744254,0)   (0.012310226067262522,0)   (0.014125000270743537,0)   (0.020353325775277268,0)   (0.031362566170008113,0)   (0.051331729102618399,0)   (0.067620488269798038,0)   (0.50000000000001477,0)   (0.1352409765396044,0)   (0.10266345820524779,0)   (0.062725132340025858,0)   (0.040706651550566297,0)   (0.02825000054150122,0)   (0.024620452134538767,0)   (0.028250000541501504,0)   (0.040706651550567234,0)   (0.062725132340025747,0)   (0.10266345820524649,0)   (0.1352409765396041,0)   
0.90000000000000002   0   (0.25000000000000033,0)   (0.070697129688474483,0)   (0.055377958553019697,0)   (0.036388265426498582,0)   (0.024976599131948315,0)   (0.018353842515044714,0)   (0.016362575733233121,0)   (0.018353842515044658,0)   (0.024976599131948132,0)   (0.036388265426498707,0)   (0.055377958553019614,0)   (0.070697129688474247,0)   (0.50000000000001432,0)   (0.14139425937695643,0)   (0.11075591710605222,0)   (0.072776530853009572,0)   (0.049953198263910023,0)   (0.036707685030105061,0)   (0.032725151466482444,0)   (0.036707685030105415,0)   (0.049953198263910363,0)   (0.072776530853009974,0)   (0.11075591710605186,0)   (0.14139425937695918,0)   
