0   0   (0.24999999999999994,0)   (5.5511151231257827e-17,0)   (0.49999999999999989,0)   (0,0)   
0   0.10000000000000001   (0.24013262425036058,0)   (0.0098673757496394177,0)   (0.48026524850072116,0)   (0.019734751499278724,0)   
0   1   (0.043294547392048466,0)   (0.20670545260795153,0)   (0.086589094784096904,0)   (0.41341090521590296,0)   
0   2   (0.10681249577392354,0)   (0.14318750422607646,0)   (0.21362499154784678,0)   (0.28637500845215308,0)   
0   10   (0.041632742293467973,0)   (0.20836725770653203,0)   (0.083265484586935834,0)   (0.41673451541306405,0)   
0.10000000000000001   0   (0.25,0)   (-0.02737332435855825,0)   (0.5,0)   (-0.054746648717116611,0)   
0.10000000000000001   0.10000000000000001   (0.23905221274251004,0.010659674595186772)   (-0.016425537101068283,-0.010659674595186772)   (0.47810442548502008,0.021319349190373555)   (-0.032851074202136676,-0.021319349190373555)   
0.10000000000000001   1   (0.020661685788368245,-0.020716200179430194)   (0.20196498985307346,0.020716200179430194)   (0.041323371576736469,-0.041432400358860415)   (0.40392997970614686,0.041432400358860415)   
0.10000000000000001   2   (0.091134423784832219,0.027082024191636345)   (0.13149225185660948,-0.027082024191636345)   (0.18226884756966416,0.054164048383272712)   (0.26298450371321919,-0.054164048383272712)   
0.10000000000000001   10   (0.018817924169851147,0.020396224225631841)   (0.20380875147159055,-0.020396224225631841)   (0.037635848339702162,0.040792448451263695)   (0.40761750294318116,-0.040792448451263695)   
0.20000000000000001   0   (0.24999999999999994,0)   (-0.058632251917220504,0)   (0.49999999999999989,0)   (-0.11726450383444101,0)   
0.20000000000000001   0.10000000000000001   (0.23781843840750166,0.0228324743474272)   (-0.046450690324722196,-0.0228324743474272)   (0.47563687681500338,0.045664948694854428)   (-0.092901380649444476,-0.045664948694854428)   
0.20000000000000001   1   (-0.0051838772878415595,-0.044373034556475503)   (0.19655162537062101,0.044373034556475503)   (-0.01036775457568309,-0.088746069112951076)   (0.39310325074124197,0.088746069112951076)   
0.20000000000000001   2   (0.073230872497197966,0.058008301952401711)   (0.11813687558558152,-0.058008301952401711)   (0.14646174499439563,0.11601660390480345)   (0.23627375117116331,-0.11601660390480345)   
0.20000000000000001   10   (-0.0072354238871312308,0.043687662532061806)   (0.1986031719699107,-0.043687662532061806)   (-0.014470847774262533,0.087375325064123641)   (0.39720634393982146,-0.087375325064123641)   
0.29999999999999999   0   (0.24999999999999994,0)   (-0.091775079128281298,0)   (0.49999999999999989,0)   (-0.18355015825656271,0)   
0.29999999999999999   0.10000000000000001   (0.23651030748951402,0.035738899179380536)   (-0.078285386617795369,-0.035738899179380536)   (0.47302061497902809,0.071477798358761099)   (-0.15657077323559088,-0.071477798358761099)   
0.29999999999999999   1   (-0.032587089685319398,-0.069455608891365803)   (0.19081201055703803,0.069455608891365803)   (-0.065174179370638796,-0.13891121778273174)   (0.38162402111407601,0.13891121778273174)   
0.29999999999999999   2   (0.054248317651806391,0.090798431370078536)   (0.10397660321991226,-0.090798431370078536)   (0.10849663530361242,0.18159686274015713)   (0.20795320643982482,-0.18159686274015713)   
0.29999999999999999   10   (-0.034858943961571909,0.06838281926251645)   (0.19308386483329054,-0.06838281926251645)   (-0.069717887923143942,0.13676563852503296)   (0.38616772966658114,-0.13676563852503296)   
0.40000000000000002   0   (0.24999999999999994,0)   (-0.1242617976845407,0)   (0.49999999999999994,0)   (-0.24852359536908147,0)   
0.40000000000000002   0.10000000000000001   (0.23522807285404443,0.048389823266606742)   (-0.10948987053858521,-0.048389823266606742)   (0.47045614570808897,0.096779646533213512)   (-0.2189797410771705,-0.096779646533213512)   
0.40000000000000002   1   (-0.059447817136994346,-0.09404163855910927)   (0.18518601945245358,0.09404163855910927)   (-0.11889563427398869,-0.18808327711821865)   (0.37037203890490711,0.18808327711821865)   
0.40000000000000002   2   (0.035641549049543371,0.12293943427944663)   (0.090096653265915844,-0.12293943427944663)   (0.071283098099086381,0.24587886855889329)   (0.18019330653183205,-0.24587886855889329)   
0.40000000000000002   10   (-0.061935617791378642,0.092589100799574151)   (0.18767382010683786,-0.092589100799574151)   (-0.12387123558275738,0.18517820159914833)   (0.37534764021367573,-0.18517820159914833)   
0.5   0   (0.24999999999999992,0)   (-0.15374486474253118,0)   (0.49999999999999983,0)   (-0.30748972948506242,0)   
0.5   0.10000000000000001   (0.23406439085039238,0.059871070366504166)   (-0.13780925559292365,-0.059871070366504166)   (0.46812878170078476,0.11974214073300837)   (-0.2756185111858474,-0.11974214073300837)   
0.5   1   (-0.083825060018964392,-0.11635449727792742)   (0.1800801952764331,0.11635449727792742)   (-0.16765012003792873,-0.23270899455585498)   (0.36016039055286614,0.23270899455585498)   
0.5   2   (0.018755121893688532,0.15210874980901964)   (0.077500013363780179,-0.15210874980901964)   (0.037510243787376683,0.3042174996180394)   (0.15500002672756072,-0.3042174996180394)   
0.5   10   (-0.086508841117983723,0.11455732207577812)   (0.18276397637545244,-0.11455732207577812)   (-0.17301768223596753,0.22911464415155633)   (0.36552795275090488,-0.22911464415155633)   
0.59999999999999998   0   (0.24999999999999992,0)   (-0.17868947998254811,0)   (0.5,0)   (-0.35737895996509633,0)   
0.59999999999999998   0.10000000000000001   (0.23307983928437867,0.069584961082798671)   (-0.16176931926692689,-0.069584961082798671)   (0.46615967856875762,0.13916992216559743)   (-0.32353863853385395,-0.13916992216559743)   
0.59999999999999998   1   (-0.10444981195224003,-0.13523264433606844)   (0.17576033196969187,0.13523264433606844)   (-0.20889962390448,-0.27046528867213698)   (0.35152066393938369,0.27046528867213698)   
0.59999999999999998   2   (0.0044680930932974447,0.17678791060557777)   (0.066842426924154388,-0.17678791060557777)   (0.008936186186594473,0.35357582121115555)   (0.13368485384830917,-0.35357582121115555)   
0.59999999999999998   10   (-0.10729940540641129,0.13314388317420864)   (0.17860992542386314,-0.13314388317420864)   (-0.21459881081282267,0.26628776634841728)   (0.35721985084772639,-0.26628776634841728)   
0.69999999999999996   0   (0.24999999999999992,0)   (-0.19857196369921082,0)   (0.5,0)   (-0.3971439273984218,0)   
0.69999999999999996   0.10000000000000001   (0.23229508753370509,0.077327564932720194)   (-0.18086705123291602,-0.077327564932720194)   (0.4645901750674104,0.15465512986544047)   (-0.36173410246583215,-0.15465512986544047)   
0.69999999999999996   1   (-0.120889083134732,-0.15027975762575799)   (0.17231711943552114,0.15027975762575799)   (-0.241778166269464,-0.30055951525151614)   (0.34463423887104216,0.30055951525151614)   
0.69999999999999996   2   (-0.0069195997915207181,0.19645880983401312)   (0.058347636092309821,-0.19645880983401312)   (-0.013839199583041858,0.39291761966802635)   (0.11669527218462004,-0.39291761966802635)   
0.69999999999999996   10   (-0.12387083984015444,0.14795858345451043)   (0.17529887614094358,-0.14795858345451043)   (-0.24774167968030902,0.29591716690902098)   (0.35059775228188722,-0.29591716690902098)   
0.80000000000000004   0   (0.24999999999999989,0)   (-0.21367932794985209,0)   (0.5,0)   (-0.42735865589970429,0)   
0.80000000000000004   0.10000000000000001   (0.23169880737511414,0.083210649675857895)   (-0.19537813532496628,-0.083210649675857895)   (0.46339761475022845,0.16642129935171585)   (-0.39075627064993274,-0.16642129935171585)   
0.80000000000000004   1   (-0.13338018139529995,-0.16171304858816909)   (0.16970085344544783,0.16171304858816909)   (-0.26676036279059984,-0.32342609717633841)   (0.33940170689089549,0.32342609717633841)   
0.80000000000000004   2   (-0.015572342921455021,0.21140540524012832)   (0.051893014971602834,-0.21140540524012832)   (-0.031144685842910462,0.4228108104802567)   (0.1037860299432061,-0.4228108104802567)   
0.80000000000000004   10   (-0.13646236008047372,0.15921527937781857)   (0.17278303213062157,-0.15921527937781857)   (-0.27292472016094754,0.31843055875563725)   (0.3455660642612432,-0.31843055875563725)   
0.90000000000000002   0   (0.24999999999999989,0)   (-0.22474634881960859,0)   (0.49999999999999978,0)   (-0.44949269763921718,0)   
0.90000000000000002   0.10000000000000001   (0.23126199756171009,0.087520350597253674)   (-0.20600834638131882,-0.087520350597253674)   (0.4625239951234203,0.1750407011945074)   (-0.41201669276263775,-0.1750407011945074)   
0.90000000000000002   1   (-0.14253063562691859,-0.17008859759802566)   (0.16778428680730986,0.17008859759802566)   (-0.28506127125383707,-0.34017719519605155)   (0.33556857361461973,0.34017719519605155)   
0.90000000000000002   2   (-0.021910979311688353,0.22235465360317491)   (0.047164630492079654,-0.22235465360317491)   (-0.043821958623377157,0.44470930720634988)   (0.094329260984159752,-0.44470930720634988)   
0.90000000000000002   10   (-0.14568637923892219,0.16746146227517372)   (0.17094003041931347,-0.16746146227517372)   (-0.29137275847784444,0.33492292455034756)   (0.34188006083862704,-0.33492292455034756)   
1   0   (0.24999999999999989,0)   (-0.23263833127583838,0)   (0.49999999999999989,0)   (-0.46527666255167688,0)   
1   0.10000000000000001   (0.23095050493648941,0.090593633322887654)   (-0.21358883621232794,-0.090593633322887654)   (0.46190100987297894,0.18118726664577539)   (-0.42717767242465604,-0.18118726664577539)   
1   1   (-0.14905589884927459,-0.17606126961382682)   (0.16641756757343609,0.17606126961382682)   (-0.29811179769854912,-0.35212253922765385)   (0.33283513514687207,0.35212253922765385)   
1   2   (-0.026431112396902483,0.23016265152845297)   (0.04379278112106396,-0.23016265152845297)   (-0.052862224793805396,0.460325303056906)   (0.087585562242128351,-0.460325303056906)   
1   10   (-0.15226410220801287,0.17334188226558278)   (0.16962577093217437,-0.17334188226558278)   (-0.30452820441602585,0.34668376453116562)   (0.33925154186434875,-0.34668376453116562)   
1.1000000000000001   0   (0.24999999999999989,0)   (-0.23815879557181122,0)   (0.5,0)   (-0.4763175911436226,0)   
