0   0   (0.2499999999999945,0)   (8.8470897274817162e-17,0)   (-2.327782064326378e-16,0)   (9.16692936836494e-17,0)   (3.7665183472146424e-16,0)   (-3.7947076036992655e-17,0)   (-2.7403209909571125e-16,0)   (-7.0586982439668766e-16,0)   (-1.2495430037895439e-16,0)   (9.4867690092481638e-17,0)   (5.8926388074587166e-17,0)   (1.22514845490862e-16,0)   (0.49999999999999528,0)   (-5.3214633153014605e-17,0)   (-2.8117682200580127e-17,0)   (2.0820069843510702e-18,0)   (-6.5481999569861823e-18,0)   (-3.8965633156065951e-18,0)   (2.9975437212145621e-18,0)   (3.2144900348300698e-18,0)   (-7.1991447769511122e-18,0)   (-9.2049187960492954e-18,0)   (6.1896932620607997e-17,0)   (6.4120182348913722e-17,0)   
0.10000000000000001   0   (0.24999999999999903,0)   (0.013090384183069148,0)   (0.0068922064908131415,0)   (0.00067952043997381365,0)   (0.00020681828106432933,0)   (2.8516570278268323e-05,0)   (1.3107341201599652e-05,0)   (2.8516570278586499e-05,0)   (0.00020681828106448725,0)   (0.00067952043997376128,0)   (0.0068922064908132916,0)   (0.013090384183069209,0)   (0.500000000000004,0)   (0.0055335759185019973,0)   (0.0028673273102449428,0)   (6.6032193861824686e-05,0)   (1.7436155765130917e-05,0)   (5.8123868014541762e-07,0)   (2.1258527546323288e-07,0)   (5.8123868015497035e-07,0)   (1.7436155765131347e-05,0)   (6.6032193861831245e-05,0)   (0.0028673273102448864,0)   (0.0055335759185017172,0)   
0.20000000000000001   0   (0.24999999999999392,0)   (0.027338769797515539,0)   (0.015163437888716663,0)   (0.0029388782176418605,0)   (0.0010616671620880371,0)   (0.00027585402992666951,0)   (0.00015738637713272024,0)   (0.00027585402992663855,0)   (0.0010616671620885696,0)   (0.0029388782176419611,0)   (0.015163437888716814,0)   (0.027338769797515174,0)   (0.50000000000000477,0)   (0.010485307218297315,0)   (0.0056200573224956521,0)   (0.0002574335812804778,0)   (7.1421548363715688e-05,0)   (4.5801705196378904e-06,0)   (1.8121093742215479e-06,0)   (4.5801705196387172e-06,0)   (7.1421548363709929e-05,0)   (0.00025743358128048598,0)   (0.0056200573224956833,0)   (0.010485307218297277,0)   
0.29999999999999999   0   (0.24999999999999512,0)   (0.042665709008933385,0)   (0.024931005354412037,0)   (0.0071070549063946891,0)   (0.0029926890210445621,0)   (0.0011150706549509987,0)   (0.00074179363618011242,0)   (0.0011150706549512678,0)   (0.0029926890210449238,0)   (0.0071070549063950569,0)   (0.024931005354412169,0)   (0.042665709008932726,0)   (0.49999999999999506,0)   (0.014722445088572017,0)   (0.0081455980791600591,0)   (0.00055547082907567451,0)   (0.0001611185034535087,0)   (1.490403176528584e-05,0)   (6.3019003613103339e-06,0)   (1.4904031765291152e-05,0)   (0.0001611185034535029,0)   (0.00055547082907569662,0)   (0.0081455980791599863,0)   (0.014722445088571885,0)   
0.40000000000000002   0   (0.24999999999999914,0)   (0.058927974747862828,0)   (0.036270764372729108,0)   (0.013498788212068652,0)   (0.0065340778720428087,0)   (0.0031245634909076725,0)   (0.0023244598376540014,0)   (0.0031245634909080251,0)   (0.0065340778720442104,0)   (0.013498788212068652,0)   (0.036270764372729164,0)   (0.058927974747863071,0)   (0.49999999999999439,0)   (0.018129573828717032,0)   (0.010330537660141251,0)   (0.00093010084700614383,0)   (0.00028073901224571828,0)   (3.3271861026243516e-05,0)   (1.4878075433358421e-05,0)   (3.3271861026246633e-05,0)   (0.00028073901224570381,0)   (0.00093010084700616475,0)   (0.010330537660141087,0)   (0.018129573828717202,0)   
0.5   0   (0.24999999999999065,0)   (0.075927592693557436,0)   (0.049217725449755459,0)   (0.022407248632029947,0)   (0.012317865756719813,0)   (0.0070950482739116456,0)   (0.0057300370501528241,0)   (0.0070950482739114964,0)   (0.012317865756719627,0)   (0.022407248632030079,0)   (0.04921772544975575,0)   (0.075927592693557075,0)   (0.500000000000002,0)   (0.020621978327931695,0)   (0.012072200900286607,0)   (0.0013420716159474281,0)   (0.00041967707820374196,0)   (5.967295236774995e-05,0)   (2.7960551436507161e-05,0)   (5.9672952367759132e-05,0)   (0.00041967707820370553,0)   (0.0013420716159474985,0)   (0.012072200900286465,0)   (0.020621978327931806,0)   
0.59999999999999998   0   (0.24999999999999545,0)   (0.093436704819597816,0)   (0.063777598306454741,0)   (0.034096651947882799,0)   (0.021031976915811226,0)   (0.013969092803727013,0)   (0.011983635005637197,0)   (0.013969092803726836,0)   (0.021031976915812486,0)   (0.034096651947882972,0)   (0.06377759830645495,0)   (0.093436704819597566,0)   (0.50000000000000477,0)   (0.022155658572354409,0)   (0.013289752084897744,0)   (0.0017469972801423413,0)   (0.0005636268114413809,0)   (9.2180047330965578e-05,0)   (4.4893125759804763e-05,0)   (9.2180047330966744e-05,0)   (0.00056362681144136973,0)   (0.0017469972801423951,0)   (0.013289752084897532,0)   (0.022155658572354357,0)   
0.69999999999999996   0   (0.24999999999999331,0)   (0.11122409505997392,0)   (0.079928754519447462,0)   (0.048768305803580755,0)   (0.033316716190010059,0)   (0.024684201160272545,0)   (0.022132077901607126,0)   (0.02468420116027318,0)   (0.033316716190010844,0)   (0.048768305803580929,0)   (0.079928754519448281,0)   (0.1112240950599738,0)   (0.50000000000000189,0)   (0.022731857569527336,0)   (0.013932725824975187,0)   (0.0021007021667931568,0)   (0.00069654451621776092,0)   (0.00012722882912293701,0)   (6.3946480866742015e-05,0)   (0.00012722882912292527,0)   (0.00069654451621773545,0)   (0.0021007021667931911,0)   (0.013932725824974778,0)   (0.022731857569527475,0)   
0.80000000000000004   0   (0.24999999999999439,0)   (0.12905758314824262,0)   (0.097582034540026924,0)   (0.066466358937589981,0)   (0.049579224908106817,0)   (0.03991289236908175,0)   (0.036952605653228429,0)   (0.039912892369082173,0)   (0.049579224908106935,0)   (0.066466358937590231,0)   (0.097582034540027188,0)   (0.12905758314824314,0)   (0.50000000000000155,0)   (0.022398266232998926,0)   (0.013987299765151706,0)   (0.0023649396141744096,0)   (0.00080310831290767381,0)   (0.0001603278785689909,0)   (8.2653706575865426e-05,0)   (0.000160327878568989,0)   (0.00080310831290764757,0)   (0.0023649396141744582,0)   (0.013987299765151553,0)   (0.022398266232998457,0)   
0.90000000000000002   0   (0.24999999999999392,0)   (0.14666744491900793,0)   (0.11648539981529051,0)   (0.086920315035316553,0)   (0.069747971066021083,0)   (0.059745634579012288,0)   (0.056605600337210252,0)   (0.059745634579011588,0)   (0.069747971066021722,0)   (0.086920315035316803,0)   (0.11648539981529012,0)   (0.14666744491900913,0)   (0.49999999999999939,0)   (0.021251830410377707,0)   (0.013482512001293481,0)   (0.0025129073455663325,0)   (0.00087131882237927486,0)   (0.00018704442186757541,0)   (9.8394991338066588e-05,0)   (0.00018704442186758791,0)   (0.00087131882237927053,0)   (0.0025129073455663559,0)   (0.013482512001293412,0)   (0.02125183041037788,0)   
