1.1000000000000001   0.10000000000000001   (0.24336812667057378,0.031922469078495816)   (0.088606617737316248,-0.031922469078495816)   (0.48673625334114751,0.063844938156991687)   (0.1772132354746323,-0.063844938156991687)   
1.1000000000000001   1   (0.11107305397306468,-0.062038691120120712)   (0.22090169043482535,0.062038691120120712)   (0.22214610794612924,-0.12407738224024152)   (0.4418033808696506,0.12407738224024152)   
1.1000000000000001   2   (0.15376353201926871,0.081102389394789906)   (0.17821121238862134,-0.081102389394789906)   (0.30752706403853713,0.1622047787895799)   (0.35642242477724267,-0.1622047787895799)   
1.1000000000000001   10   (0.10995615306733164,0.061080460885250105)   (0.22201859134055837,-0.061080460885250105)   (0.21991230613466312,0.12216092177050029)   (0.44403718268111669,-0.12216092177050029)   
1.2   0   (0.24999999999999992,0)   (0.082421418603738333,0)   (0.49999999999999983,0)   (0.16484283720747647,0)   
1.2   0.10000000000000001   (0.24338575667908621,0.032096412203395097)   (0.089035661924652093,-0.032096412203395097)   (0.48677151335817231,0.064192824406790236)   (0.17807132384930399,-0.064192824406790236)   
1.2   1   (0.1114423739403491,-0.06237673526612833)   (0.22097904466338916,0.06237673526612833)   (0.22288474788069809,-0.12475347053225677)   (0.44195808932677821,0.12475347053225677)   
1.2   2   (0.1540193646724915,0.081544310194006236)   (0.17840205393124678,-0.081544310194006236)   (0.30803872934498272,0.16308862038801253)   (0.35680410786249356,-0.16308862038801253)   
1.2   10   (0.11032844217644032,0.061413283707023175)   (0.22209297642729797,-0.061413283707023175)   (0.2206568843528805,0.12282656741404641)   (0.44418595285459583,-0.12282656741404641)   
1.3   0   (0.24999999999999997,0)   (0.082721506791204658,0)   (0.49999999999999994,0)   (0.16544301358240904,0)   
1.3   0.10000000000000001   (0.24339760101070124,0.032213272047904633)   (0.089323905780503379,-0.032213272047904633)   (0.48679520202140247,0.064426544095809307)   (0.17864781156100651,-0.064426544095809307)   
1.3   1   (0.1116904933987992,-0.062603842755215272)   (0.22103101339240538,0.062603842755215272)   (0.22338098679759827,-0.12520768551043063)   (0.4420620267848106,0.12520768551043063)   
1.3   2   (0.15419124018693564,0.08184120491699029)   (0.17853026660426896,-0.08184120491699029)   (0.30838248037387095,0.16368240983398064)   (0.35706053320853792,-0.16368240983398064)   
1.3   10   (0.11057855638721024,0.061636883364808707)   (0.22214295040399437,-0.061636883364808707)   (0.22115711277442029,0.12327376672961747)   (0.44428590080798858,-0.12327376672961747)   
1.3999999999999999   0   (0.25,0)   (0.082922965415269098,0)   (0.49999999999999994,0)   (0.16584593083053792,0)   
1.3999999999999999   0.10000000000000001   (0.24340555248246784,0.032291723731331587)   (0.089517412932801202,-0.032291723731331587)   (0.48681110496493568,0.064583447462663215)   (0.17903482586560215,-0.064583447462663215)   
1.3999999999999999   1   (0.11185706378307526,-0.062756307144608531)   (0.22106590163219381,0.062756307144608531)   (0.22371412756615039,-0.12551261428921717)   (0.44213180326438745,0.12551261428921717)   
1.3999999999999999   2   (0.15430662561727407,0.082040519668061834)   (0.17861633979799499,-0.082040519668061834)   (0.3086132512345478,0.16408103933612375)   (0.35723267959598998,-0.16408103933612375)   
