0   0   (0.25000000000000033,0)   (5.2583805365546965e-17,0)   (3.0032400177848473e-16,0)   (-4.4869706908312601e-16,0)   (3.5344990823027445e-17,0)   (-4.1199682554449168e-16,0)   (6.353424730765056e-17,0)   (-3.056365924236637e-16,0)   (-5.5825569861278623e-16,0)   (-1.8908485888147197e-16,0)   (2.7462841029057827e-16,0)   (3.5767829670296791e-16,0)   (0.49999999999999711,0)   (4.0604959546358243e-17,0)   (2.5003152641437905e-16,0)   (1.8577131893137235e-16,0)   (4.6982376485354277e-17,0)   (-6.2485620518949736e-18,0)   (1.6836420953014524e-17,0)   (-4.3202915474705589e-18,0)   (2.586383340705484e-17,0)   (1.2681766698379544e-16,0)   (1.8662031064231718e-16,0)   (9.9738341297430679e-17,0)   
0.10000000000000001   0   (0.24999999999999864,0)   (0.012848680257695621,0)   (0.0068127320399537982,0)   (0.00067111188747469427,0)   (0.000204401888792879,0)   (2.8027716573658589e-05,0)   (1.2880957418005906e-05,0)   (2.8027716573667869e-05,0)   (0.00020440188879312652,0)   (0.000671111887474683,0)   (0.0068127320399540532,0)   (0.0128486802576958,0)   (0.50000000000000533,0)   (0.015233914559183607,0)   (0.0080423472410818125,0)   (0.00049745941965845415,0)   (0.00014170408122799404,0)   (1.2350430900289104e-05,0)   (5.1228402280245607e-06,0)   (1.2350430900298065e-05,0)   (0.00014170408122796444,0)   (0.00049745941965844223,0)   (0.0080423472410815731,0)   (0.015233914559182733,0)   
0.20000000000000001   0   (0.24999999999999889,0)   (0.026249670604822986,0)   (0.014726975821632651,0)   (0.0028445782309825655,0)   (0.0010255420965907579,0)   (0.00026335602503064814,0)   (0.00014975212780657276,0)   (0.0002633560250305929,0)   (0.0010255420965907766,0)   (0.0028445782309825807,0)   (0.014726975821632732,0)   (0.026249670604822785,0)   (0.49999999999999933,0)   (0.029372312665736332,0)   (0.016309666296357165,0)   (0.0019911037339311608,0)   (0.00063473088533951938,0)   (0.00010401158736502294,0)   (5.063343778259374e-05,0)   (0.00010401158736504158,0)   (0.00063473088533953673,0)   (0.0019911037339311365,0)   (0.016309666296357321,0)   (0.029372312665736082,0)   
0.29999999999999999   0   (0.24999999999999606,0)   (0.03996518328440514,0)   (0.023668647617232402,0)   (0.00669633264535932,0)   (0.0027990246905390103,0)   (0.0010232475849174334,0)   (0.000675594069637627,0)   (0.0010232475849165739,0)   (0.0027990246905386512,0)   (0.0066963326453590979,0)   (0.02366864761723253,0)   (0.039965183284404834,0)   (0.49999999999999345,0)   (0.041946489130198841,0)   (0.024403341880321325,0)   (0.0043935843292219213,0)   (0.0015448240435062847,0)   (0.00035916533008927904,0)   (0.00019730346795134317,0)   (0.00035916533008930191,0)   (0.0015448240435062982,0)   (0.0043935843292219482,0)   (0.024403341880321741,0)   (0.041946489130199591,0)   
0.40000000000000002   0   (0.250000000000001,0)   (0.05375855942035012,0)   (0.033528362493218083,0)   (0.012314654445003801,0)   (0.0058727231769982926,0)   (0.0027335012411928207,0)   (0.002010095613162012,0)   (0.0027335012411923054,0)   (0.0058727231769986742,0)   (0.012314654445003939,0)   (0.033528362493218104,0)   (0.053758559420350037,0)   (0.50000000000000711,0)   (0.052584687942106474,0)   (0.031928637015427593,0)   (0.0075086221193522524,0)   (0.0028769602612934344,0)   (0.0008463379556757156,0)   (0.00051015258940582476,0)   (0.00084633795567575073,0)   (0.0028769602612934196,0)   (0.0075086221193521744,0)   (0.031928637015427933,0)   (0.052584687942106863,0)   
0.5   0   (0.24999999999999969,0)   (0.0674318268749734,0)   (0.044191180187522584,0)   (0.019718506542945026,0)   (0.010583084874384039,0)   (0.0058878437838649125,0)   (0.004684870992717873,0)   (0.0058878437838653886,0)   (0.010583084874384203,0)   (0.019718506542945092,0)   (0.044191180187522834,0)   (0.067431826874973108,0)   (0.49999999999999911,0)   (0.061050030271426428,0)   (0.038541926850121921,0)   (0.011062545799774576,0)   (0.0045714620377650603,0)   (0.0015975418847211256,0)   (0.001034934864142972,0)   (0.0015975418847211994,0)   (0.0045714620377652173,0)   (0.011062545799774523,0)   (0.038541926850121588,0)   (0.061050030271427663,0)   
0.59999999999999998   0   (0.25000000000000211,0)   (0.080856181141150799,0)   (0.055567359630890149,0)   (0.028887381101193162,0)   (0.01723004141725239,0)   (0.010982934242085719,0)   (0.0092624487665487528,0)   (0.010982934242086014,0)   (0.017230041417251866,0)   (0.0288873811011932,0)   (0.055567359630889948,0)   (0.080856181141150812,0)   (0.49999999999999994,0)   (0.067247688945038991,0)   (0.043981626943975151,0)   (0.014747899404959233,0)   (0.0065139870149803344,0)   (0.0025969470716018777,0)   (0.0017799727138435271,0)   (0.0025969470716020694,0)   (0.0065139870149803292,0)   (0.014747899404959266,0)   (0.043981626943975977,0)   (0.067247688945038644,0)   
0.69999999999999996   0   (0.249999999999997,0)   (0.09398351439385981,0)   (0.067607647551380379,0)   (0.039781305372161339,0)   (0.026046042213597232,0)   (0.018441647864667371,0)   (0.016238381387151564,0)   (0.018441647864667277,0)   (0.026046042213597128,0)   (0.039781305372161527,0)   (0.067607647551380795,0)   (0.093983514393859449,0)   (0.50000000000000167,0)   (0.071204748366233125,0)   (0.048077984820192779,0)   (0.018265204893971078,0)   (0.008554849014321313,0)   (0.0037823714916506994,0)   (0.0027101172040587961,0)   (0.0037823714916508221,0)   (0.008554849014321509,0)   (0.018265204893971113,0)   (0.048077984820193632,0)   (0.07120474836623307,0)   
0.80000000000000004   0   (0.25000000000000089,0)   (0.1068326251553301,0)   (0.080292082136374232,0)   (0.052335401993771624,0)   (0.037156217551896062,0)   (0.028537253231792115,0)   (0.025947514264409843,0)   (0.028537253231791848,0)   (0.037156217551896166,0)   (0.052335401993771784,0)   (0.080292082136374329,0)   (0.10683262515532968,0)   (0.50000000000000355,0)   (0.07303769371858275,0)   (0.050747387491116,0)   (0.02135397853873363,0)   (0.010531504022636171,0)   (0.0050574869281288029,0)   (0.0037533025661088339,0)   (0.0050574869281289729,0)   (0.010531504022636248,0)   (0.021353978538733515,0)   (0.050747387491115105,0)   (0.073037693718583083,0)   
0.90000000000000002   0   (0.24999999999999944,0)   (0.11945341939745531,0)   (0.093593957252144366,0)   (0.066428532906537677,0)   (0.050532821181757011,0)   (0.041328637812304066,0)   (0.03848876311948999,0)   (0.041328637812304073,0)   (0.050532821181756921,0)   (0.066428532906537746,0)   (0.093593957252144283,0)   (0.11945341939745528,0)   (0.50000000000000078,0)   (0.072924394234339149,0)   (0.051982023801497503,0)   (0.023811863978261152,0)   (0.012289703580525189,0)   (0.0063097968970296332,0)   (0.0048155046134663402,0)   (0.0063097968970298544,0)   (0.01228970358052545,0)   (0.023811863978261238,0)   (0.051982023801496524,0)   (0.072924394234339995,0)   
