0   0   (0.24999999999999545,0)   (3.8413282971161422e-16,0)   (-1.0668549377257364e-16,0)   (1.3693473438491921e-16,0)   (-2.1993041068868457e-16,0)   (-3.7079714299004252e-16,0)   (-1.7038237140609702e-16,0)   (-3.903127820947816e-18,0)   (-1.6544925152128798e-16,0)   (2.6736425573492539e-16,0)   (1.4446993948369347e-16,0)   (3.3751213629473753e-16,0)   (0.49999999999999756,0)   (3.1774259906405897e-16,0)   (-2.0935478082574101e-17,0)   (6.071722748331957e-17,0)   (1.6873531584016103e-17,0)   (2.8924269324603034e-17,0)   (1.2313741470709391e-18,0)   (1.635387687087559e-17,0)   (1.2462607511189334e-17,0)   (5.4352410159413944e-17,0)   (1.0604280752384444e-16,0)   (2.7823401778880302e-16,0)   
0.10000000000000001   0   (0.25000000000000117,0)   (0.013055713839713851,0)   (0.0068808728557307906,0)   (0.00067830655837070855,0)   (0.0002064691924310146,0)   (2.8445687699453162e-05,0)   (1.3074517152313617e-05,0)   (2.8445687699741597e-05,0)   (0.00020646919243136777,0)   (0.00067830655837104379,0)   (0.0068808728557310898,0)   (0.013055713839713797,0)   (0.49999999999999956,0)   (0.0076819957482886373,0)   (0.0039973528168887875,0)   (0.0001270895327299882,0)   (3.4149139616795435e-05,0)   (1.5614009730185727e-06,0)   (5.8857727424240823e-07,0)   (1.5614009730045293e-06,0)   (3.4149139616789499e-05,0)   (0.00012708953272996048,0)   (0.0039973528168887554,0)   (0.0076819957482881732,0)   
0.20000000000000001   0   (0.249999999999996,0)   (0.027183389960391748,0)   (0.015101636834509689,0)   (0.0029252736140430845,0)   (0.0010564380185497974,0)   (0.00027403296268899759,0)   (0.0001562724732894687,0)   (0.00027403296268908015,0)   (0.0010564380185499184,0)   (0.0029252736140427888,0)   (0.01510163683450959,0)   (0.027183389960391758,0)   (0.50000000000000133,0)   (0.014616803943681351,0)   (0.0078975013900452681,0)   (0.00049867260431283179,0)   (0.00014292839124380912,0)   (1.2497125526344438e-05,0)   (5.209979959017298e-06,0)   (1.2497125526320579e-05,0)   (0.00014292839124380467,0)   (0.00049867260431279265,0)   (0.0078975013900451658,0)   (0.014616803943681256,0)   
0.29999999999999999   0   (0.25000000000000006,0)   (0.042281753805346323,0)   (0.024752758802452611,0)   (0.0070477004627736073,0)   (0.0029645020257694603,0)   (0.0011015772486642689,0)   (0.00073203566512039389,0)   (0.0011015772486642828,0)   (0.0029645020257688865,0)   (0.0070477004627734997,0)   (0.02475275880245258,0)   (0.042281753805346378,0)   (0.50000000000000022,0)   (0.020608774336137257,0)   (0.01153351735206214,0)   (0.0010822653495740678,0)   (0.00032861922843461719,0)   (4.125447756199766e-05,0)   (1.8686527206799965e-05,0)   (4.1254477561968095e-05,0)   (0.00032861922843459518,0)   (0.0010822653495740247,0)   (0.011533517352062305,0)   (0.020608774336137024,0)   
0.40000000000000002   0   (0.25000000000000044,0)   (0.05819477654960558,0)   (0.035883601028216167,0)   (0.013327033413381812,0)   (0.0064370255092337349,0)   (0.0030664469774804803,0)   (0.002277529550432692,0)   (0.0030664469774805106,0)   (0.0064370255092345207,0)   (0.01332703341338169,0)   (0.035883601028215951,0)   (0.058194776549605129,0)   (0.50000000000000044,0)   (0.025488653201240125,0)   (0.014736529017923414,0)   (0.0018221056809291291,0)   (0.00058246624709476611,0)   (9.3338856112561356e-05,0)   (4.5272638845530346e-05,0)   (9.3338856112522203e-05,0)   (0.0005824662470947531,0)   (0.0018221056809290767,0)   (0.014736529017923466,0)   (0.025488653201241097,0)   
0.5   0   (0.24999999999999495,0)   (0.074725846767866699,0)   (0.048507488434845203,0)   (0.022015407378008528,0)   (0.012060849628915175,0)   (0.006913457870972005,0)   (0.0055719518091325781,0)   (0.0069134578709718767,0)   (0.012060849628915186,0)   (0.022015407378008431,0)   (0.048507488434844849,0)   (0.074725846767867185,0)   (0.49999999999999628,0)   (0.029131982210201818,0)   (0.017352692798546419,0)   (0.0026435646531645079,0)   (0.00088455784976702043,0)   (0.00016955199082076136,0)   (8.6999766984803724e-05,0)   (0.00016955199082070434,0)   (0.00088455784976698617,0)   (0.0026435646531644151,0)   (0.017352692798546648,0)   (0.029131982210202252,0)   
0.59999999999999998   0   (0.24999999999999561,0)   (0.091664943946168559,0)   (0.062617016453250254,0)   (0.033334122640824887,0)   (0.02046369854143398,0)   (0.01351516575967728,0)   (0.011567507104610898,0)   (0.013515165759676635,0)   (0.02046369854143297,0)   (0.03333412264082479,0)   (0.062617016453249602,0)   (0.091664943946168476,0)   (0.50000000000000433,0)   (0.031471633778649616,0)   (0.019258786911445901,0)   (0.0034613458338846573,0)   (0.0012059288831313172,0)   (0.00026520837945640517,0)   (0.0001424937755749556,0)   (0.0002652083794563586,0)   (0.0012059288831312706,0)   (0.0034613458338846638,0)   (0.019258786911445985,0)   (0.031471633778648457,0)   
0.69999999999999996   0   (0.24999999999999448,0)   (0.10881416211431473,0)   (0.078189600637339998,0)   (0.047449789977470097,0)   (0.032223868190403591,0)   (0.02372943044186469,0)   (0.021225257782895302,0)   (0.023729430441864013,0)   (0.03222386819040305,0)   (0.047449789977470132,0)   (0.078189600637339804,0)   (0.1088141621143156,0)   (0.49999999999999367,0)   (0.032502065893079961,0)   (0.020373509711906438,0)   (0.0041898487019456972,0)   (0.0015125700689710875,0)   (0.00037069263719615483,0)   (0.00020675489483498079,0)   (0.00037069263719607579,0)   (0.0015125700689710565,0)   (0.0041898487019457042,0)   (0.020373509711906421,0)   (0.032502065893079801,0)   
0.80000000000000004   0   (0.24999999999999736,0)   (0.12598823840884843,0)   (0.095154118185707667,0)   (0.064398011880224912,0)   (0.047713088853333835,0)   (0.038174970896981603,0)   (0.035261784963362318,0)   (0.038174970896982137,0)   (0.047713088853333641,0)   (0.064398011880224815,0)   (0.095154118185707376,0)   (0.12598823840884774,0)   (0.50000000000000411,0)   (0.032278812102971371,0)   (0.020665140151603902,0)   (0.0047538740181506424,0)   (0.001770585087762793,0)   (0.00047328860565418087,0)   (0.00027204467542329139,0)   (0.00047328860565412563,0)   (0.0017705850877627336,0)   (0.0047538740181506155,0)   (0.020665140151603936,0)   (0.032278812102971503,0)   
0.90000000000000002   0   (0.24999999999999628,0)   (0.14297763676624392,0)   (0.1133072939455827,0)   (0.083950793215206959,0)   (0.066889916332739038,0)   (0.056963071074837279,0)   (0.053854401013417243,0)   (0.056963071074836787,0)   (0.066889916332739038,0)   (0.083950793215206779,0)   (0.11330729394558264,0)   (0.14297763676624256,0)   (0.50000000000000333,0)   (0.030920332887439696,0)   (0.020158990487215103,0)   (0.0050986597951996424,0)   (0.0019517361891984953,0)   (0.00055986693942861596,0)   (0.00032964876989582281,0)   (0.00055986693942852023,0)   (0.0019517361891984405,0)   (0.0050986597951996294,0)   (0.020158990487215193,0)   (0.030920332887439214,0)   
1   0   (0.24999999999999495,0)   (0.15949364867701729,0)   (0.13221551277585336,0)   (0.10548316691520784,0)   (0.089122131097376989,0)   (0.079483222056339189,0)   (0.076410834568748351,0)   (0.079483222056339078,0)   (0.089122131097376725,0)   (0.10548316691520772,0)   (0.13221551277585308,0)   (0.15949364867701671,0)   (0.50000000000000211,0)   (0.028614129884717433,0)   (0.018945281745365656,0)   (0.005198541444289201,0)   (0.0020386410679940981,0)   (0.00061983055885592836,0)   (0.00037202531398536701,0)   (0.00061983055885583068,0)   (0.0020386410679940118,0)   (0.0051985414442892123,0)   (0.018945281745365247,0)   (0.028614129884717825,0)   
1.1000000000000001   0   (0.24999999999999559,0)   (0.17514447014322357,0)   (0.15118110941485391,0)   (0.12794570627118923,0)   (0.11316459525271319,0)   (0.10438218279944973,0)   (0.10154753542686146,0)   (0.10438218279944959,0)   (0.11316459525271318,0)   (0.12794570627118906,0)   (0.15118110941485327,0)   (0.17514447014322387,0)   (0.499999999999998,0)   (0.025616953173221588,0)   (0.017180286556472489,0)   (0.0050620976834529615,0)   (0.0020283892846864812,0)   (0.00064754569460465843,0)   (0.00039468547997760625,0)   (0.00064754569460458795,0)   (0.002028389284686424,0)   (0.005062097683452919,0)   (0.017180286556472163,0)   (0.025616953173221702,0)   
1.2   0   (0.2499999999999962,0)   (0.18948326251179914,0)   (0.16933815438152677,0)   (0.15002401659772649,0)   (0.13737969311181142,0)   (0.12982498891230984,0)   (0.12736495330117789,0)   (0.12982498891230884,0)   (0.13737969311181125,0)   (0.15002401659772641,0)   (0.16933815438152655,0)   (0.18948326251179981,0)   (0.49999999999999722,0)   (0.022233442463230575,0)   (0.015069858640073269,0)   (0.0047301431525112051,0)   (0.0019328357868442089,0)   (0.00064338463191929813,0)   (0.00039711553025472118,0)   (0.0006433846319192128,0)   (0.0019328357868441547,0)   (0.0047301431525112259,0)   (0.015069858640073281,0)   (0.022233442463230661,0)   
1.3   0   (0.24999999999999606,0)   (0.20211687203688222,0)   (0.18585707118185776,0)   (0.17044679339006324,0)   (0.16014180956372034,0)   (0.15396366772708739,0)   (0.1519393321209293,0)   (0.15396366772708717,0)   (0.16014180956372048,0)   (0.17044679339006311,0)   (0.18585707118185779,0)   (0.20211687203688194,0)   (0.49999999999999883,0)   (0.018769958473197627,0)   (0.01283331669422789,0)   (0.0042648163527277457,0)   (0.0017746648590996627,0)   (0.00061287427128402206,0)   (0.00038235334026507836,0)   (0.00061287427128395809,0)   (0.0017746648590995821,0)   (0.0042648163527277284,0)   (0.012833316694227822,0)   (0.018769958473197786,0)   
