0   0   (0.24999999999999739,0)   (2.2583931252873057e-16,0)   (-1.0842021724855044e-17,0)   (-2.2464669013899652e-16,0)   (1.1167282376600696e-16,0)   (-2.693158196453993e-16,0)   (4.5211230592645535e-17,0)   (-5.510999642743819e-16,0)   (-3.7513395167998453e-17,0)   (-3.542088497510143e-16,0)   (4.0137164425413374e-16,0)   (2.1478045036937843e-16,0)   (0.50000000000000133,0)   (3.4814324681572625e-17,0)   (-1.17264194129951e-16,0)   (9.5599916988158478e-17,0)   (3.4071159149475384e-17,0)   (3.8251160865056949e-17,0)   (3.8368838887721193e-17,0)   (2.8179833243084911e-17,0)   (3.8553233989871514e-17,0)   (1.1471469113316456e-16,0)   (2.0657937149494389e-16,0)   (-2.7727083544865647e-16,0)   
0.10000000000000001   0   (0.2499999999999985,0)   (0.013005996659103035,0)   (0.0068645722714820341,0)   (0.0006765712811845322,0)   (0.00020597026405577091,0)   (2.8344540311780097e-05,0)   (1.3027675890011161e-05,0)   (2.8344540311789191e-05,0)   (0.00020597026405562498,0)   (0.0006765712811843725,0)   (0.0068645722714822562,0)   (0.013005996659102808,0)   (0.50000000000000189,0)   (0.010004532611579905,0)   (0.0052293617093189327,0)   (0.00021524260028243049,0)   (5.8911458927516261e-05,0)   (3.4639989213939986e-06,0)   (1.3469641513390299e-06,0)   (3.4639989213756841e-06,0)   (5.8911458927511999e-05,0)   (0.00021524260028245694,0)   (0.0052293617093193967,0)   (0.010004532611580188,0)   
0.20000000000000001   0   (0.24999999999999961,0)   (0.02695984612229043,0)   (0.015012377909299877,0)   (0.0029058031016922932,0)   (0.0010489635846660204,0)   (0.0002714372737273068,0)   (0.00015468560446739096,0)   (0.00027143727372698289,0)   (0.0010489635846657153,0)   (0.002905803101692154,0)   (0.015012377909299822,0)   (0.026959846122289955,0)   (0.49999999999999684,0)   (0.019118017252383643,0)   (0.010418111496201091,0)   (0.00085013459823853098,0)   (0.00025208719123735615,0)   (2.8180980038417713e-05,0)   (1.2376631599050163e-05,0)   (2.8180980038402965e-05,0)   (0.00025208719123733349,0)   (0.00085013459823855071,0)   (0.010418111496201149,0)   (0.019118017252382782,0)   
0.29999999999999999   0   (0.24999999999999756,0)   (0.04172792374910099,0)   (0.024494703341259274,0)   (0.006962718225551251,0)   (0.0029242584911639514,0)   (0.0010823900358213354,0)   (0.0007181775520319634,0)   (0.0010823900358212847,0)   (0.0029242584911637693,0)   (0.0069627182255509292,0)   (0.024494703341259031,0)   (0.041727923749101323,0)   (0.50000000000000677,0)   (0.027069961291217678,0)   (0.015334871638246671,0)   (0.0018556776947757639,0)   (0.00059076239792101232,0)   (9.4415403152939319e-05,0)   (4.5713210092825326e-05,0)   (9.4415403152914057e-05,0)   (0.00059076239792098966,0)   (0.0018556776947757621,0)   (0.015334871638246442,0)   (0.02706996129121849,0)   
0.40000000000000002   0   (0.24999999999999789,0)   (0.057134739344182908,0)   (0.035322327495651173,0)   (0.01308117901300806,0)   (0.0062987571764217066,0)   (0.002984085392450903,0)   (0.002211145155724997,0)   (0.0029840853924502876,0)   (0.0062987571764219407,0)   (0.013081179013008249,0)   (0.035322327495651139,0)   (0.057134739344182991,0)   (0.49999999999999384,0)   (0.03363028905392685,0)   (0.019745905584095693,0)   (0.0031409245882569915,0)   (0.0010649496316947516,0)   (0.00021655384234411842,0)   (0.000113428299375822,0)   (0.00021655384234406868,0)   (0.0010649496316947078,0)   (0.0031409245882569837,0)   (0.019745905584095516,0)   (0.033630289053926385,0)   
0.5   0   (0.24999999999999839,0)   (0.072983958053333284,0)   (0.047476819851900533,0)   (0.021454818591625333,0)   (0.011695619624057485,0)   (0.0066570344887516173,0)   (0.005349228725887477,0)   (0.0066570344887523277,0)   (0.011695619624057583,0)   (0.021454818591625242,0)   (0.047476819851900852,0)   (0.072983958053334339,0)   (0.49999999999999817,0)   (0.038633160406239313,0)   (0.023439012412573641,0)   (0.0045816722359282996,0)   (0.0016426177465041715,0)   (0.00039852971143882984,0)   (0.00022244490810810922,0)   (0.00039852971143878408,0)   (0.0016426177465040652,0)   (0.0045816722359283187,0)   (0.023439012412573249,0)   (0.038633160406239583,0)   
0.59999999999999998   0   (0.24999999999999908,0)   (0.08908817055473145,0)   (0.060930710298717265,0)   (0.032243526553761455,0)   (0.019657866571459275,0)   (0.012875947637852112,0)   (0.010982960495582993,0)   (0.012875947637851076,0)   (0.019657866571458748,0)   (0.032243526553761441,0)   (0.060930710298716932,0)   (0.089088170554731297,0)   (0.50000000000000222,0)   (0.041990443888180511,0)   (0.026243805001504819,0)   (0.0060353802393297096,0)   (0.0022732402936415617,0)   (0.00063149796897120759,0)   (0.00037104461362157034,0)   (0.0006314979689711613,0)   (0.0022732402936415526,0)   (0.006035380239329707,0)   (0.026243805001504347,0)   (0.041990443888179747,0)   
0.69999999999999996   0   (0.25000000000000011,0)   (0.10529252269250669,0)   (0.075657286188014386,0)   (0.045562619434692996,0)   (0.030675090972788442,0)   (0.022385915030317453,0)   (0.019952333505795179,0)   (0.022385915030316828,0)   (0.030675090972788668,0)   (0.045562619434692898,0)   (0.075657286188014636,0)   (0.10529252269250641,0)   (0.49999999999999434,0)   (0.043692794552699088,0)   (0.028044642804531478,0)   (0.0073588137545979228,0)   (0.0028949515566765579,0)   (0.00089465821337419093,0)   (0.00054785169298421875,0)   (0.00089465821337415677,0)   (0.0028949515566764872,0)   (0.0073588137545979038,0)   (0.028044642804531238,0)   (0.04369279455269854,0)   
0.80000000000000004   0   (0.24999999999999847,0)   (0.12147257723324337,0)   (0.091605591364194799,0)   (0.061429187830825141,0)   (0.045062446793200574,0)   (0.035723165067064688,0)   (0.032881844997382982,0)   (0.035723165067065826,0)   (0.045062446793200581,0)   (0.06142918783082521,0)   (0.091605591364195466,0)   (0.12147257723324284,0)   (0.49999999999999989,0)   (0.043803987768263809,0)   (0.028787591125448344,0)   (0.0084250663992466012,0)   (0.0034437519564395817,0)   (0.0011590532915635721,0)   (0.0007336927979078086,0)   (0.0011590532915635257,0)   (0.0034437519564395266,0)   (0.0084250663992465821,0)   (0.02878759112544781,0)   (0.043803987768263296,0)   
0.90000000000000002   0   (0.2499999999999985,0)   (0.13749762237632998,0)   (0.10863213954143743,0)   (0.079661693357089516,0)   (0.062804307821006863,0)   (0.053009806141227862,0)   (0.049953547674808738,0)   (0.053009806141228542,0)   (0.062804307821007294,0)   (0.079661693357089683,0)   (0.10863213954143719,0)   (0.13749762237632937,0)   (0.50000000000000067,0)   (0.04245828039215737,0)   (0.028486534616701444,0)   (0.0091385049740415596,0)   (0.0038633322175119643,0)   (0.0013933811482632506,0)   (0.00090574474510126931,0)   (0.0013933811482631975,0)   (0.0038633322175118693,0)   (0.0091385049740414885,0)   (0.028486534616701316,0)   (0.04245828039215762,0)   
